year,member_casual,total_ride_value,ride_count,average_ride_value
2013,Customer,3320276.0,356752,9.306958335202046
2013,Subscriber,473039.3069235966,403036,1.1736899605087303
2014,Customer,6867438.0,791240,8.679336231737526
2014,Subscriber,1881396.2627900958,1663394,1.1310587045463045
2015,Customer,9292056.5,929883,9.992715750261054
2015,Dependent,1221.3999999999999,143,8.54125874125874
2015,Subscriber,2589188.4429781027,2253413,1.149007502387757
2016,Customer,10351968.299999999,858474,12.058569391734634
2016,Dependent,400.0,40,10.0
2016,Subscriber,6594132.760346663,2736869,2.4093709857310173
2017,Customer,9878648.399999999,836872,11.804252502174764
2017,Dependent,69.64999999999999,7,9.95
2017,Subscriber,4332365.169738709,2992135,1.4479176807659777
2018,Customer,5346355.5,677156,7.895308466586725
2018,Subscriber,4654441.531075749,2925926,1.5907584576902316
2019,Customer,6310308.0,880637,7.165617615430649
2019,Subscriber,4485110.824065399,2937367,1.5269153715097226
